"DIST_ALLN","DIST_ALLR","DIST_ALLD","DISTRICT","Gradespan","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED","cntyname","regnname","distname","COUNTY","REGION","CALC_PER_TEC"
"0","0.0","330","001902","712","0","0.0","181","0","0.0","149","0","0.0","25","0","0.0","3","0","0.0","18",".",".",".","0","0.0","270",".",".",".","0","0.0","14","0","0.0","98","0","0.0","3","0","0.0","330","0","0.0","42","0","0.0","108","0","0.0","37","0","0.0","3","0","0.0","3",".",".",".","0","0.0","85","0","0.0","57","Anderson County","Kilgore","Cayuga ISD","001","07","No"
"0","0.0","330","001902","712","0","0.0","181","0","0.0","149","0","0.0","25","0","0.0","3","0","0.0","18",".",".",".","0","0.0","270",".",".",".","0","0.0","14","0","0.0","98","0","0.0","3","0","0.0","330","0","0.0","42","0","0.0","108","0","0.0","37","0","0.0","3","0","0.0","3",".",".",".","0","0.0","85","0","0.0","57","Anderson County","Kilgore","Cayuga ISD","001","07","Yes"
"0","0.0","107","001902","78","0","0.0","56","0","0.0","51","0","0.0","6","0","0.0","1","0","0.0","4",".",".",".","0","0.0","91",".",".",".","0","0.0","5","0","0.0","30",".",".",".","0","0.0","107",".",".",".","0","0.0","38","0","0.0","13",".",".",".",".",".",".",".",".",".","0","0.0","27","0","0.0","19","Anderson County","Kilgore","Cayuga ISD","001","07","No"
"0","0.0","107","001902","78","0","0.0","56","0","0.0","51","0","0.0","6","0","0.0","1","0","0.0","4",".",".",".","0","0.0","91",".",".",".","0","0.0","5","0","0.0","30",".",".",".","0","0.0","107",".",".",".","0","0.0","38","0","0.0","13",".",".",".",".",".",".",".",".",".","0","0.0","27","0","0.0","19","Anderson County","Kilgore","Cayuga ISD","001","07","Yes"
"0","0.0","223","001902","912","0","0.0","125","0","0.0","98","0","0.0","19","0","0.0","2","0","0.0","14",".",".",".","0","0.0","179",".",".",".","0","0.0","9","0","0.0","68","0","0.0","3","0","0.0","223","0","0.0","42","0","0.0","70","0","0.0","24","0","0.0","3","0","0.0","3",".",".",".","0","0.0","58","0","0.0","38","Anderson County","Kilgore","Cayuga ISD","001","07","No"
"0","0.0","223","001902","912","0","0.0","125","0","0.0","98","0","0.0","19","0","0.0","2","0","0.0","14",".",".",".","0","0.0","179",".",".",".","0","0.0","9","0","0.0","68","0","0.0","3","0","0.0","223","0","0.0","42","0","0.0","70","0","0.0","24","0","0.0","3","0","0.0","3",".",".",".","0","0.0","58","0","0.0","38","Anderson County","Kilgore","Cayuga ISD","001","07","Yes"
"-","0.2","<600","001903","712","-","0.3","<400","-","0.0","<300","0","0.0","23","0","0.0","7","0","0.0","45","0","0.0","2","-","0.2","<500",".",".",".","0","0.0","19","0","0.0","181",".",".",".","-","0.2","<600","0","0.0","56","-","0.4","<300","0","0.0","33",".",".",".",".",".",".",".",".",".","-","0.7","<200","-","1.6","<100","Anderson County","Kilgore","Elkhart ISD","001","07","No"
"-","0.2","<600","001903","712","-","0.3","<400","-","0.0","<300","0","0.0","23","0","0.0","7","0","0.0","45","0","0.0","2","-","0.2","<500",".",".",".","0","0.0","19","0","0.0","180",".",".",".","-","0.2","<600","0","0.0","56","-","0.4","<300","0","0.0","33",".",".",".",".",".",".",".",".",".","-","0.7","<200","-","1.6","<100","Anderson County","Kilgore","Elkhart ISD","001","07","Yes"
"0","0.0","211","001903","78","0","0.0","107","0","0.0","104","0","0.0","11","0","0.0","4","0","0.0","19","0","0.0","1","0","0.0","170",".",".",".","0","0.0","6","0","0.0","61",".",".",".","0","0.0","211",".",".",".","0","0.0","101","0","0.0","9",".",".",".",".",".",".",".",".",".","0","0.0","47","0","0.0","23","Anderson County","Kilgore","Elkhart ISD","001","07","No"
"0","0.0","211","001903","78","0","0.0","107","0","0.0","104","0","0.0","11","0","0.0","4","0","0.0","19","0","0.0","1","0","0.0","170",".",".",".","0","0.0","6","0","0.0","61",".",".",".","0","0.0","211",".",".",".","0","0.0","101","0","0.0","9",".",".",".",".",".",".",".",".",".","0","0.0","47","0","0.0","23","Anderson County","Kilgore","Elkhart ISD","001","07","Yes"
