"CALC_FOR_STATE_ACCT","Gradespan","DISTRICT","distname","COUNTY","cntyname","REGION","regnname","DIST_ALLN","DIST_ALLR","DIST_ALLD","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED"
"No","712","001902","Cayuga ISD","001","Anderson County","07","Kilgore","-","1.0","<400","-","1.8","<200","-","0.0","<200","0","0.0","20","0","0.0","4","0","0.0","15",".",".",".","-","0.8","<300",".",".",".","-","5.9","<100","0","0.0","116","0","0.0","1","-","1.0","<400","0","0.0","45","-","1.7","<200","0","0.0","36","0","0.0","2","0","0.0","1",".",".",".","-","2.7","<100","-","1.9","<100"
"Yes","712","001902","Cayuga ISD","001","Anderson County","07","Kilgore","-","1.0","<400","-","1.8","<200","-","0.0","<200","0","0.0","20","0","0.0","4","0","0.0","15",".",".",".","-","0.8","<300",".",".",".","-","5.9","<100","0","0.0","116","0","0.0","1","-","1.0","<400","0","0.0","45","-","1.7","<200","0","0.0","36","0","0.0","2","0","0.0","1",".",".",".","-","2.7","<100","-","1.9","<100"
"No","78","001902","Cayuga ISD","001","Anderson County","07","Kilgore","0","0.0","106","0","0.0","57","0","0.0","49","0","0.0","4","0","0.0","2","0","0.0","4",".",".",".","0","0.0","86",".",".",".","0","0.0","10","0","0.0","32",".",".",".","0","0.0","106",".",".",".","0","0.0","41","0","0.0","14",".",".",".",".",".",".",".",".",".","0","0.0","27","0","0.0","16"
"Yes","78","001902","Cayuga ISD","001","Anderson County","07","Kilgore","0","0.0","106","0","0.0","57","0","0.0","49","0","0.0","4","0","0.0","2","0","0.0","4",".",".",".","0","0.0","86",".",".",".","0","0.0","10","0","0.0","32",".",".",".","0","0.0","106",".",".",".","0","0.0","41","0","0.0","14",".",".",".",".",".",".",".",".",".","0","0.0","27","0","0.0","16"
"No","912","001902","Cayuga ISD","001","Anderson County","07","Kilgore","-","1.4","<300","-","2.7","<200","-","0.0","<100","0","0.0","16","0","0.0","2","0","0.0","11",".",".",".","-","1.2","<200",".",".",".","-","14.3","<100","0","0.0","84","0","0.0","1","-","1.4","<300","0","0.0","45","-","2.7","<100","0","0.0","22","0","0.0","2","0","0.0","1",".",".",".","-","4.3","<100","-","2.6","<100"
"Yes","912","001902","Cayuga ISD","001","Anderson County","07","Kilgore","-","1.4","<300","-","2.7","<200","-","0.0","<100","0","0.0","16","0","0.0","2","0","0.0","11",".",".",".","-","1.2","<200",".",".",".","-","14.3","<100","0","0.0","84","0","0.0","1","-","1.4","<300","0","0.0","45","-","2.7","<100","0","0.0","22","0","0.0","2","0","0.0","1",".",".",".","-","4.3","<100","-","2.6","<100"
"No","712","001903","Elkhart ISD","001","Anderson County","07","Kilgore","-","1.0","<600","-","1.7","<400","-","0.4","<300","-","5.3","<100","0","0.0","7","-","4.8","<100","0","0.0","2","-","0.6","<500",".",".",".","0","0.0","17","0","0.0","241",".",".",".","0","0.0","194","0","0.0","37","-","0.4","<300","0","0.0","30",".",".",".",".",".",".",".",".",".","-","1.3","<200","-","2.0","<100"
"Yes","712","001903","Elkhart ISD","001","Anderson County","07","Kilgore","-","1.0","<600","-","1.7","<300","-","0.4","<300","-","5.3","<100","0","0.0","7","-","4.8","<100","0","0.0","2","-","0.6","<500",".",".",".","0","0.0","17","0","0.0","241",".",".",".","0","0.0","194","0","0.0","36","-","0.4","<300","0","0.0","30",".",".",".",".",".",".",".",".",".","-","1.3","<200","-","2.0","<100"
"No","78","001903","Elkhart ISD","001","Anderson County","07","Kilgore","0","0.0","194","0","0.0","101","0","0.0","93","0","0.0","7","0","0.0","2","0","0.0","14",".",".",".","0","0.0","166",".",".",".","0","0.0","5","0","0.0","85",".",".",".","0","0.0","194",".",".",".","0","0.0","95","0","0.0","7",".",".",".",".",".",".",".",".",".","0","0.0","63","0","0.0","18"
"Yes","78","001903","Elkhart ISD","001","Anderson County","07","Kilgore","0","0.0","194","0","0.0","101","0","0.0","93","0","0.0","7","0","0.0","2","0","0.0","14",".",".",".","0","0.0","166",".",".",".","0","0.0","5","0","0.0","85",".",".",".","0","0.0","194",".",".",".","0","0.0","95","0","0.0","7",".",".",".",".",".",".",".",".",".","0","0.0","63","0","0.0","18"
