DISTRICT,DA0CA03R,DA0CC03R,DA0CS03R,DA0CT03R,DB0CA03R,DB0CC03R,DB0CS03R,DB0CT03R,DF0CA03R,DF0CC03R,DF0CS03R,DF0CT03R,DH0CA03R,DH0CC03R,DH0CS03R,DH0CT03R,DI0CA03R,DI0CC03R,DI0CS03R,DI0CT03R,DM0CA03R,DM0CC03R,DM0CS03R,DM0CT03R,DP0CA03R,DP0CC03R,DP0CS03R,DP0CT03R,DW0CA03R,DW0CC03R,DW0CS03R,DW0CT03R
"001902",19.2,7.1,951,36.8,.,.,.,.,19.4,0,914,47.8,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,19.3,11.1,951,27.3
"001903",19.1,20.5,993,60,.,.,.,.,.,18.2,944,81.5,.,.,.,.,.,.,.,.,18.8,23.5,1061,44.7,.,.,.,.,19.1,20,996,58.3
"001904",21.9,31.8,1071,50,.,.,.,.,22.5,30.8,1089,52,.,.,.,.,.,.,.,.,21,33.3,1038,47.4,.,.,.,.,22.4,33.3,1113,51.2
"001906",22.3,33.3,1162,42.9,.,.,.,.,22.3,33.3,1162,69.2,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,21.6,28.6,.,36.8
"001907",19.9,26.4,937,51.7,15.6,0,776,45.1,20,23.9,929,48.4,.,.,.,6.3,.,.,.,.,19.6,28.9,945,55.6,.,.,.,.,21.3,36.1,987,67
"001908",19.5,19.6,940,58.9,.,.,.,25,19.5,13.3,886,53.6,.,.,.,.,.,.,.,.,19.6,26.9,983,66.7,.,.,.,.,19.7,20.8,939,62.4
"001909",21.2,28.6,.,58.3,.,.,.,.,.,40,.,100,.,.,.,.,.,.,.,.,.,.,.,28.6,.,.,.,.,.,33.3,.,60
"002901",19.5,12,931,52.4,.,.,.,.,20.6,14.8,936,58.1,19.9,10.5,849,23.2,.,.,.,.,18.1,8.5,924,46.5,.,.,.,.,19.8,13.4,954,69.5
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",19.6,24.3,1003,51.9,.,.,.,.,18.6,10,912,48.4,.,.,.,21.4,.,.,.,.,20.7,35,1061,54.8,.,.,.,.,19.7,25.4,996,53.8
"003903",17.3,21.4,956,53.7,15.1,1.7,837,50.4,17.7,15.8,946,52.5,16.5,10.5,913,29.2,.,.,.,.,17.1,27.4,967,54.9,.,66.7,1106,85.7,21.2,31.6,1022,52.9
"003904",18.2,7.8,922,43.6,.,.,.,.,16.8,6.3,915,49.2,.,.,.,80,.,.,.,.,19.5,10.5,934,36.5,.,.,.,.,18.3,9.1,925,40.7
"003905",17.3,7.9,833,75.2,16.5,6.3,762,94.1,17,6.3,820,77.4,16.4,2.7,795,88.1,.,.,.,.,17.9,10.7,853,71.8,.,.,.,.,19.4,17.4,938,54.8
"003906",17.5,0,961,55,.,.,.,.,17.8,0,.,53.8,.,.,.,.,.,.,.,.,.,.,.,57.1,.,.,.,.,17.5,0,958,50
"003907",17.9,16.7,925,40,.,.,.,.,19.8,15.8,904,46.3,.,.,.,.,.,.,.,.,15.6,18.2,967,32.4,.,.,.,.,18.8,15.4,933,38.2
"004901",20.2,23.4,999,67.8,.,0,804,55.6,20.7,24.6,987,80.2,18.3,10,956,40,.,.,.,.,19.7,22.1,1011,58.6,21.5,21.4,960,93.3,20.9,27.7,1014,73.4
"005901",21.2,35.5,965,75.6,.,.,.,.,21.5,40,922,75,.,.,.,.,.,.,.,.,20.9,31.3,1016,76.2,.,.,.,.,21.3,29.6,943,71.1
"005902",22,33.3,1005,69.6,.,.,.,.,20.9,19,955,70,.,.,.,.,.,.,.,.,23.4,44.4,1038,69.2,.,.,.,.,22.5,34.8,1060,68.7
"005903",.,.,.,14.3,.,.,.,.,.,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20
"005904",21.1,37.5,1130,80,.,.,.,.,21.5,42.9,1140,93.3,.,.,.,.,.,.,.,.,20.4,30,.,66.7,.,.,.,.,21.2,39.1,1130,82.1
"006902",20.3,26.3,1022,82.6,.,.,.,.,19.8,25,1022,92.3,.,.,.,.,.,.,.,.,21,28.6,.,70,.,.,.,.,20.8,29.4,.,85
"007901",18.6,16.7,.,58.1,.,.,.,.,19.7,20,.,58.8,17.6,16.7,.,46.2,.,.,.,.,17.5,12.5,.,57.1,.,.,.,.,.,20,.,100
"007902",20,21.3,1008,75.8,.,.,.,.,20,16.7,1006,70.6,19.6,5.3,1007,63.3,.,.,.,.,20.1,26.1,1010,82.1,.,.,.,.,20.6,33.3,1050,87.1
"007904",17.1,8.9,843,60.8,.,.,.,.,17.7,9.4,819,72.7,16.2,0,770,55.8,.,.,.,.,.,7.7,896,43.3,.,.,.,.,17.8,21.1,951,63.3
"007905",20.8,23,968,53.8,.,.,.,.,20.6,22.2,968,50.8,18.9,5.1,882,34.2,.,.,.,.,20.9,24,968,58.1,.,.,.,.,21.8,34.3,1010,75.3
"007906",18.2,7,922,51.2,.,.,.,.,19.3,15.8,958,46.3,18.3,6.1,905,47.1,.,.,.,.,17,0,889,55.8,.,.,.,.,19.2,10,983,76.9
"008901",20.6,37.3,1039,74.5,15.7,0,798,55.6,20.1,28.9,991,72.6,.,.,.,50,.,.,.,.,20.6,43.9,1076,76,.,.,.,.,21.2,39.3,1047,76.4
"008902",19.6,26.7,1014,56.8,14.7,0,.,46.7,20.6,26.1,1025,59,19.2,7.7,1013,34.2,.,.,.,.,18.3,28.6,994,51.9,.,.,.,.,20.8,36.5,1024,65.8
"008903",16.8,18.8,911,52.5,.,0,887,88.9,17.2,0,821,52,.,.,.,26.7,.,.,.,.,.,31.6,979,52.8,.,.,.,.,17.7,25,971,54.1
"009901",19.4,23.3,.,61.4,.,.,.,.,20.4,32.1,.,62.2,16.8,5.9,.,42.5,.,.,.,.,17.5,6.7,.,60,.,.,.,.,21.3,36,.,86.2
"010901",20.8,31.6,994,.,.,.,.,.,21.5,40,1024,.,.,.,.,.,.,.,.,.,19.8,22.2,946,90,.,.,.,.,20.8,31.6,980,.
"010902",20.9,28,983,66,.,.,.,.,20.1,20.4,934,71,20.3,23.1,972,72.2,.,.,.,.,22.1,36.4,1031,61.1,.,.,.,.,20.9,30.3,976,62.3
"011901",18.6,21.6,978,48.1,13.6,0,793,59.4,17.3,11.2,928,47.3,.,12.5,969,27.6,.,.,.,.,22.4,32.2,1025,48.9,.,.,.,.,19.7,26.9,1010,49
