DISTRICT,DA0CA07R,DA0CC07R,DA0CS07R,DA0CT07R,DACRB07R,DACRM07R,DACRR07R,DB0CA07R,DB0CC07R,DB0CS07R,DB0CT07R,DBCRB07R,DBCRM07R,DBCRR07R,DECRB07R,DECRM07R,DECRR07R,DF0CA07R,DF0CC07R,DF0CS07R,DF0CT07R,DFCRB07R,DFCRM07R,DFCRR07R,DH0CA07R,DH0CC07R,DH0CS07R,DH0CT07R,DHCRB07R,DHCRM07R,DHCRR07R,DI0CA07R,DI0CC07R,DI0CS07R,DI0CT07R,DICRB07R,DICRM07R,DICRR07R,DLCRB07R,DLCRM07R,DLCRR07R,DM0CA07R,DM0CC07R,DM0CS07R,DM0CT07R,DMCRB07R,DMCRM07R,DMCRR07R,DP0CA07R,DP0CC07R,DP0CS07R,DP0CT07R,DPCRB07R,DPCRM07R,DPCRR07R,DRCRB07R,DRCRM07R,DRCRR07R,DSCRB07R,DSCRM07R,DSCRR07R,DW0CA07R,DW0CC07R,DW0CS07R,DW0CT07R,DWCRB07R,DWCRM07R,DWCRR07R
"001902",19.8,11.1,939,48.6,34,61,41,18.5,20,-1,71.4,25,38,38,0,30,0,18.9,0,-1,55.6,47,47,63,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,21.3,25,917,42.1,21,74,23,.,.,.,.,.,.,.,17,33,43,-1,-1,-1,20,8.3,956,42.9,36,68,42
"001903",21.4,15.4,910,60.9,23,47,41,.,-1,-1,-1,-1,-1,-1,25,38,44,20,10,917,60.6,19,38,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.8,21.1,906,61.3,28,56,38,.,.,.,-1,-1,-1,-1,0,16,26,-1,-1,-1,21.4,13.5,893,60.7,25,49,38
"001904",19.5,21.1,969,55.9,38,66,45,.,.,.,-1,-1,-1,-1,27,55,27,-1,16.7,908,40,54,69,62,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,23.1,999,68.4,26,63,35,.,.,.,.,.,.,.,20,40,36,.,.,-1,19.2,23.5,969,56.7,39,64,48
"001906",24,60,-1,45.5,50,80,45,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,44.4,50,88,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,24,60,-1,45.5,50,80,45
"001907",18.7,25,974,41.3,17,46,22,13.7,5.3,855,42.2,5,19,7,9,33,19,20.4,14.3,956,25.9,13,43,20,22.8,25,1002,20,17,46,29,.,.,.,-1,-1,-1,-1,-1,-1,-1,18.5,30.2,997,58.1,22,49,25,.,-1,-1,-1,-1,-1,-1,6,24,11,0,0,0,19,34.3,1016,53,24,61,27
"001908",17.9,11.5,920,55.9,25,45,38,-1,0,-1,55.6,0,0,33,22,39,30,17.3,6.9,868,59.2,30,39,49,16.2,0,-1,60,20,40,20,-1,.,.,.,.,.,.,.,.,.,18.4,17.4,968,52.3,20,52,26,.,.,.,.,.,.,.,9,18,18,-1,-1,-1,19,12.8,944,52.7,29,52,41
"001909",24.5,62.5,1170,33.3,39,39,45,.,.,.,.,.,.,.,29,29,29,25.8,66.7,1168,35.3,38,38,50,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,28.6,-1,-1,-1,.,.,.,.,.,.,.,0,0,0,.,.,-1,24.5,62.5,1170,36.4,41,41,47
"002901",19.9,21.4,958,40.5,21,43,30,.,.,.,-1,-1,-1,-1,10,31,14,20.1,18.2,942,35.5,21,31,31,17.9,8.7,891,25.6,9,31,19,-1,-1,.,-2,.,.,.,0,0,0,19.4,24.3,975,46.3,22,55,29,-1,-1,-1,-1,-1,-1,-1,7,11,13,0,0,6,21.4,27.3,1000,55.7,35,54,43
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",20.2,21.5,973,58.6,27,64,32,-1,-1,-1,-1,-1,-1,-1,17,56,19,20.6,13.5,939,67.3,33,62,44,-1,0,846,47.8,12,61,11,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.8,32.1,1020,50,20,66,20,-1,-1,.,-1,-1,-1,-1,10,40,15,.,.,-1,21.2,28.6,1004,59,32,65,38
