DISTRICT,DA0CA10R,DA0CC10R,DA0CS10R,DA0CT10R,DACRB10R,DACRM10R,DACRR10R,DB0CA10R,DB0CC10R,DB0CS10R,DB0CT10R,DBCRB10R,DBCRM10R,DBCRR10R,DECRB10R,DECRM10R,DECRR10R,DF0CA10R,DF0CC10R,DF0CS10R,DF0CT10R,DFCRB10R,DFCRM10R,DFCRR10R,DH0CA10R,DH0CC10R,DH0CS10R,DH0CT10R,DHCRB10R,DHCRM10R,DHCRR10R,DI0CA10R,DI0CC10R,DI0CS10R,DI0CT10R,DICRB10R,DICRM10R,DICRR10R,DLCRB10R,DLCRM10R,DLCRR10R,DM0CA10R,DM0CC10R,DM0CS10R,DM0CT10R,DMCRB10R,DMCRM10R,DMCRR10R,DRCRB10R,DRCRM10R,DRCRR10R,DSCRB10R,DSCRM10R,DSCRR10R,DW0CA10R,DW0CC10R,DW0CS10R,DW0CT10R,DWCRB10R,DWCRM10R,DWCRR10R,D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R
"001902",21.4,6.3,894,38.1,54,65,70,.,0,776,45.5,33,33,67,42,67,67,21,0,910,35,57,67,77,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,11.1,883,40.9,52,64,64,-1,-1,20,-3,20,20,21.3,10,965,35.7,63,80,71,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001903",21.3,18.8,989,50.8,56,70,70,-1,-1,-1,-1,-1,-1,-1,40,53,63,20.3,15.8,982,54.3,62,77,72,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,23.1,1001,46.4,48,61,68,-3,20,43,-3,-3,43,22.2,23.1,1004,49.1,57,72,68,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001904",17.3,9.7,905,60.8,45,60,62,-1,-1,-1,-2,-3,-3,17,50,61,61,17.6,8.3,860,60,45,59,64,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,17,10.5,931,61.3,45,61,61,-3,8,31,-1,-1,-1,18.6,9.1,940,52.4,49,66,68,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001906",-1,33.3,920,54.5,36,40,64,-1,-1,-1,60,40,60,50,22,33,44,-1,60,-1,41.7,33,42,67,.,-1,-1,80,33,33,67,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,14.3,900,70,38,38,63,-3,13,18,-1,-1,17,-1,40,-1,45.5,38,38,73,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001907",20.2,18.2,878,44.8,53,68,64,16.9,0,737,65.9,23,43,41,39,64,46,20.4,16.3,872,46.7,55,68,69,-1,12.5,784,14.8,49,63,58,.,.,.,.,-1,-1,-1,-1,-1,-1,20.1,20.6,886,42.5,51,68,58,24,43,44,-1,-1,17,22.5,33.3,996,52.7,70,83,79,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001908",17.2,9.4,928,67.9,49,69,68,-1,0,822,81.8,27,36,73,38,62,56,17.9,3.8,890,70.3,46,59,73,-1,0,923,70,42,67,42,.,.,.,-1,-1,-1,-1,-1,-1,-1,16.3,14.8,967,65.9,51,77,64,27,57,53,-3,50,29,17.7,13.9,963,66.7,57,76,75,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"001909",-1,11.1,939,47.4,50,65,68,.,.,.,.,-1,-1,-1,33,50,63,-1,16.7,972,46.2,62,69,86,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,50,29,57,38,17,33,33,-1,-1,-1,-1,12.5,950,47.1,50,67,65,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"002901",22.9,25.5,946,32.9,40,54,53,.,-1,-1,-1,-1,-1,-1,39,42,40,23.2,14.3,859,34.6,36,49,52,20.4,4.2,858,25.3,33,47,46,.,.,.,.,-1,-1,-1,-3,-3,-3,22.6,37,1038,31.4,44,59,53,18,31,33,-3,14,7,24.5,41.4,1023,42,52,65,62,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",21.8,21.8,980,70.5,56,80,63,.,16.7,812,85.7,22,56,33,41,69,52,-1,20.8,984,70.7,66,84,70,.,12.5,873,61.5,29,63,46,.,.,.,.,-1,-1,-1,-1,-1,-1,23.7,22.8,977,70.4,48,77,57,23,54,38,-1,-1,-3,21.8,23,1011,71.9,64,85,68,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
