"Region","County","District","District Name","Charter Status","Staff_Category","Staff","FTE Count","Total Base Pay","Average Base Pay"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","0.50","23338","46676"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","3.22","150142","46650"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","19.00","807247","42480"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","0.67","29908","44853"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","24.77","1120701","45237"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","6.03","266949","44244"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","54.20","2398285","44252"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","1.00","53808","53808"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","EDUCATIONAL DIAGNOSTICIAN","6.00","310266","51713"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","0.52","25869","49415"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LSSP/PSYCHOLOGIST","3.78","187584","49681"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","1.50","83444","55629"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","1.00","44700","44704"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SPEECH THRPST/SPEECH-LANG PATH","5.00","237081","47417"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","WORK-BASED LEARNING SITE COOR","1.00","50364","50364"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","19.80","993116","50160"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ATHLETIC DIRECTOR","0.08","5468","64710"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","DIST INSTR PGM DIR OR EXC DIR","2.00","137633","68817"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","3.00","198499","66166"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","93412","93412"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TAX ASSESSOR AND/OR COLLECTOR","0.50","18986","37972"
