District_Id,District_Name,Charter_Flag
1902,CAYUGA ISD,0
1903,ELKHART ISD,0
1904,FRANKSTON ISD,0
1906,NECHES ISD,0
1907,PALESTINE ISD,0
1908,WESTWOOD ISD,0
1909,SLOCUM ISD,0
2901,ANDREWS ISD,0
3801,PINEYWOODS COMMUNITY ACADEMY,1
3902,HUDSON ISD,0
3903,LUFKIN ISD,0
3904,HUNTINGTON ISD,0
3905,DIBOLL ISD,0
3906,ZAVALLA ISD,0
3907,CENTRAL ISD,0
4901,ARANSAS COUNTY ISD,0
5901,ARCHER CITY ISD,0
5902,HOLLIDAY ISD,0
5903,MEGARGEL ISD,0
5904,WINDTHORST ISD,0
6902,CLAUDE ISD,0
7901,CHARLOTTE ISD,0
7902,JOURDANTON ISD,0
7904,LYTLE ISD,0
7905,PLEASANTON ISD,0
7906,POTEET ISD,0
8901,BELLVILLE ISD,0
8902,SEALY ISD,0
8903,BRAZOS ISD,0
9901,MULESHOE ISD,0
10901,MEDINA ISD,0
10902,BANDERA ISD,0
11901,BASTROP ISD,0
11902,ELGIN ISD,0
11904,SMITHVILLE ISD,0
11905,MCDADE ISD,0
12901,SEYMOUR ISD,0
13801,ST MARY'S ACADEMY CHARTER SCHOOL,1
13901,BEEVILLE ISD,0
13902,PAWNEE ISD,0
13903,PETTUS ISD,0
13905,SKIDMORE-TYNAN ISD,0
14801,RICHARD MILBURN ALTER HIGH SCHOOL,1
14802,TRANSFORMATIVE CHARTER ACADEMY,1
14803,"TEMPLE EDUCATION CENTER,PRIORITY CHARTER SCHOOLS",1
14804,"CEDAR CREST SCHOOL,ORENDA CHARTER SCHOOL",1
14901,ACADEMY ISD,0
14902,BARTLETT ISD,0
14903,BELTON ISD,0
14905,HOLLAND ISD,0
14906,KILLEEN ISD,0
14907,ROGERS ISD,0
14908,SALADO ISD,0
14909,TEMPLE ISD,0
14910,TROY ISD,0
15801,POR VIDA ACADEMY,1
15802,GEORGE GERVIN ACADEMY,1
15803,HIGGS CARTER KING GIFTED & TALENTE,1
15805,"NEW FRONTIERS CHARTER SCHOOL,NEW FRONTIERS PUBLIC SCHOOLS INC",1
15806,SCHOOL OF EXCELLENCE IN EDUCATION,1
15807,SOUTHWEST PREPARATORY SCHOOL,1
15808,"JOHN H WOOD JR CHARTER SCHOOL,JOHN H WOOD JR PUBLIC CHARTER DIST,INSPIRE ACADEMIES",1
15809,BEXAR COUNTY ACADEMY,1
15810,CAREER PLUS LEARNING ACADEMY,0
15811,LA ESCUELA DE LAS AMERICAS,0
15812,GEORGE I SANCHEZ CHARTER HS SAN AN,0
15813,GUARDIAN ANGEL PERFORMANCE ARTS AC,0
15814,POSITIVE SOLUTIONS CHARTER SCHOOL,1
15815,"RADIANCE ACADEMY OF LEARNING,HERITAGE ACADEMY",1
15816,ACADEMY OF CAREERS AND TECHNOLOGIE,1
15817,SAN ANTONIO CAN HIGH SCHOOL,1
15818,EAGLE ACADEMY OF SAN ANTONIO,0
15819,SHEKINAH RADIANCE ACADEMY,1
15820,SAN ANTONIO SCHOOL FOR INQUIRY & C,1
15822,"JUBILEE ACADEMIC CENTER,JUBILEE ACADEMIES",1
