District_Id,Year,Fall_Enrollment
1902,2005,584
1902,2006,582
1902,2007,569
1902,2008,580
1902,2009,594
1902,2010,628
1902,2011,606
1902,2012,590
1902,2013,595
1902,2014,553
1902,2015,577
1902,2016,568
1902,2017,576
1902,2018,575
1902,2019,564
1903,2005,1267
1903,2006,1294
1903,2007,1319
1903,2008,1375
1903,2009,1340
1903,2010,1354
1903,2011,1325
1903,2012,1271
1903,2013,1236
1903,2014,1207
1903,2015,1217
1903,2016,1244
1903,2017,1267
1903,2018,1233
1903,2019,1254
1904,2005,784
1904,2006,797
1904,2007,789
1904,2008,801
1904,2009,760
1904,2010,763
1904,2011,798
1904,2012,733
1904,2013,751
1904,2014,762
1904,2015,803
1904,2016,841
1904,2017,846
1904,2018,872
1904,2019,803
1906,2005,311
1906,2006,329
1906,2007,352
1906,2008,361
1906,2009,390
1906,2010,376
1906,2011,370
1906,2012,403
1906,2013,406
1906,2014,389
1906,2015,370
1906,2016,383
1906,2017,377
1906,2018,360
1906,2019,366
1907,2005,3329
1907,2006,3372
1907,2007,3405
1907,2008,3304
1907,2009,3267
1907,2010,3238
1907,2011,3241
1907,2012,3220
1907,2013,3288
1907,2014,3263
1907,2015,3352
1907,2016,3385
1907,2017,3453
1907,2018,3414
1907,2019,3389
1908,2005,1754
1908,2006,1789
1908,2007,1759
1908,2008,1737
1908,2009,1759
1908,2010,1695
1908,2011,1720
1908,2012,1717
1908,2013,1619
1908,2014,1602
1908,2015,1595
1908,2016,1609
1908,2017,1600
1908,2018,1559
1908,2019,1518
1909,2005,380
1909,2006,389
1909,2007,402
1909,2008,378
1909,2009,387
1909,2010,410
1909,2011,404
1909,2012,431
1909,2013,439
1909,2014,412
1909,2015,389
1909,2016,414
1909,2017,411
1909,2018,423
1909,2019,406
2901,2005,2860
2901,2006,2898
2901,2007,2973
2901,2008,3035
2901,2009,3116
2901,2010,3134
2901,2011,3242
2901,2012,3408
2901,2013,3617
2901,2014,3758
2901,2015,4006
2901,2016,3968
2901,2017,3954
2901,2018,4062
2901,2019,4314
3801,2005,206
3801,2006,220
3801,2007,263
3801,2008,313
3801,2009,304
3801,2010,336
3801,2011,465
3801,2012,554
3801,2013,635
3801,2014,701
3801,2015,811
3801,2016,966
3801,2017,1037
3801,2018,1020
3801,2019,1022
3902,2005,2355
3902,2006,2429
3902,2007,2412
3902,2008,2501
3902,2009,2482
3902,2010,2595
3902,2011,2654
3902,2012,2714
3902,2013,2726
3902,2014,2774
3902,2015,2816
3902,2016,2778
3902,2017,2842
3902,2018,2889
3902,2019,2957
3903,2005,8467
3903,2006,8663
3903,2007,8601
3903,2008,8540
3903,2009,8575
3903,2010,8601
3903,2011,8588
3903,2012,8506
3903,2013,8494
3903,2014,8383
3903,2015,8322
3903,2016,8243
3903,2017,8176
3903,2018,7953
3903,2019,7827
3904,2005,1652
3904,2006,1679
3904,2007,1706
3904,2008,1721
3904,2009,1768
3904,2010,1746
3904,2011,1738
3904,2012,1751
3904,2013,1735
3904,2014,1760
3904,2015,1755
3904,2016,1699
3904,2017,1723
3904,2018,1718
3904,2019,1659
3905,2005,1915
3905,2006,1865
3905,2007,1866
3905,2008,1832
3905,2009,1833
3905,2010,1946
3905,2011,1989
3905,2012,1965
3905,2013,1996
3905,2014,1982
3905,2015,1930
3905,2016,1878
3905,2017,1903
3905,2018,1884
3905,2019,1870
3906,2005,467
3906,2006,484
3906,2007,479
3906,2008,485
3906,2009,468
3906,2010,480
3906,2011,471
3906,2012,445
3906,2013,441
3906,2014,410
3906,2015,412
3906,2016,419
3906,2017,386
3906,2018,368
3906,2019,360
3907,2005,1678
3907,2006,1647
3907,2007,1632
3907,2008,1581
3907,2009,1565
3907,2010,1527
3907,2011,1509
3907,2012,1529
3907,2013,1540
3907,2014,1592
3907,2015,1575
3907,2016,1583
3907,2017,1526
3907,2018,1521
3907,2019,1465
4901,2005,3337
4901,2006,3331
4901,2007,3244
4901,2008,3155
4901,2009,3024
4901,2010,3150
4901,2011,3087
4901,2012,3129
4901,2013,3161
4901,2014,3212
4901,2015,3246
4901,2016,3399
4901,2017,3387
4901,2018,2546
4901,2019,2826
5901,2005,538
5901,2006,501
5901,2007,483
5901,2008,460
5901,2009,450
5901,2010,483
5901,2011,504
5901,2012,499
5901,2013,488
5901,2014,487
5901,2015,482
5901,2016,460
5901,2017,482
5901,2018,473
5901,2019,505
5902,2005,868
5902,2006,814
5902,2007,837
5902,2008,837
5902,2009,858
5902,2010,871
5902,2011,896
5902,2012,862
5902,2013,887
5902,2014,892
5902,2015,901
5902,2016,945
