District_Id,Year,Instruction_All_Funds,Instruction_General_Funds,Instructional_Res_Media_All_Funds,Instructional_Res_Media_General_Funds,Curriculum_Staff_Develop_All_Funds,Curriculum_Staff_Develop_General_Funds,Instructional_Leadership_All_Funds,Instructional_Leadership_General_Funds,School_Administration_All_Funds,School_Administration_General_Funds,Guidance_Counseling_Services_All_Funds,Guidance_Counseling_Services_General_Funds,Social_Work_Services_All_Funds,Social_Work_Services_General_Funds,Health_Services_All_Funds,Health_Services_General_Funds,Transportation_All_Funds,Transportation_General_Funds,Food_All_Funds,Food_General_Funds,Cocurricular_All_Funds,Cocurricular_General_Funds,General_Administration_All_Funds,General_Administration_General_Funds,Plant_Maintenance_Operation_All_Funds,Plant_Maintenance_Operation_General_Funds,Security_Monitoring_All_Funds,Security_Monitoring_General_Funds,Data_Processing_Services_All_Funds,Data_Processing_Services_General_Funds,Community_Services_All_Funds,Community_Services_General_Funds,Total_Expenditure_By_Function_All_Funds,Total_Expenditure_By_Function_General_Funds
1902,2005,2390199,2209789,60362,47374,1121,629,5524,0,239235,237714,134112,132590,0,0,38519,38012,181837,180350,189306,0,197088,175127,273666,272144,408441,405207,1678,1678,66064,65557,0,0,4187152,3766171
1902,2006,2461397,2243276,80067,78653,4254,1535,16106,0,244793,243229,135423,133938,0,0,40909,40402,181975,180611,203499,0,198532,175802,285905,284383,496631,492807,2788,2788,67298,66791,0,0,4419577,3944215
1902,2007,2642749,2450934,77503,76087,4969,820,4000,0,255309,255309,140044,140044,0,0,46080,46080,188873,188873,190100,0,223094,186577,300100,300100,540789,540789,1857,1857,77627,77627,0,0,4693094,4265097
1902,2008,4108584,2741830,79604,54416,16968,4571,302836,0,258301,258301,877655,147403,0,0,45898,45898,224996,224996,217411,0,275561,219760,310133,310133,606415,553803,1533,1533,91175,91175,0,0,7417070,4653819
1902,2009,4391883,2963259,84600,60497,11375,1277,217697,0,264999,264999,845635,150041,0,0,46497,46497,189287,189287,256598,0,322772,268885,258457,258457,679972,633954,870,870,93636,93636,0,0,7664278,4931659
1902,2010,5139086,3150102,84603,58224,14662,2273,257802,0,281539,281539,874259,151042,0,0,49065,49065,363286,197297,251772,0,322201,280267,258943,258943,650952,480017,2596,2596,106166,106166,0,0,8656932,5017531
1902,2011,4982639,2950685,78948,52170,14768,74,308315,0,283396,283396,752040,152784,0,0,49250,49250,328741,238060,266258,0,309954,255095,288543,288543,634680,466889,729,729,113891,113891,0,0,8412152,4851566
1902,2012,4512209,2880227,73480,46654,12129,4389,263071,0,270764,270764,804129,153077,0,0,49313,49313,302602,302602,261851,0,283820,264038,256900,256900,673189,643993,177,177,141136,141136,0,0,7904770,5013270
1902,2013,4598965,3143246,77094,49410,8811,3402,275557,0,280028,280028,802031,151473,0,0,49794,49794,263010,263010,291695,0,415892,382771,276186,276186,758917,709648,0,0,156305,156305,0,0,8254285,5465273
1902,2014,4767662,3172952,79947,52527,10348,3068,210871,0,285268,285268,841561,155573,0,0,46746,46746,309289,239811,271576,0,389456,348061,283201,283201,643679,616839,0,0,188944,188944,0,0,8328548,5392990
1902,2015,4699444,3170692,76462,48519,6731,1482,210531,0,290400,290400,882493,154866,0,0,42548,42548,280525,280525,286137,0,401446,357487,286146,281886,598465,561328,540,540,176479,176479,0,0,8238347,5366752
1902,2016,4750155,3264704,68311,37944,7226,1045,235055,0,297029,297029,984007,154917,0,0,40712,40712,258738,258738,277660,0,433883,377107,289955,286974,648032,609297,472,472,185858,185858,0,0,8477093,5514797
1902,2017,4626747,3111115,67363,36241,5041,1350,231304,0,293458,293458,950266,158744,0,0,40757,40757,299825,299825,299477,0,415967,360044,299555,296121,632194,594289,100,100,169388,169388,0,0,8331442,5361432
1902,2018,4561628,3017290,67427,35639,6061,1156,260769,0,295861,295861,1013689,175700,0,0,39065,39065,325648,325648,292632,0,400222,356596,271108,271108,627737,591081,0,0,163219,163219,0,0,8325066,5272363
1902,2019,4649118,3057892,66490,34128,4986,1395,270353,0,306385,306385,998314,162713,0,0,37882,37882,293070,293070,287406,0,413755,356796,284553,280943,773085,708405,0,0,173489,173489,0,0,8558886,5413098
1903,2005,4957392,4510430,200545,195264,39296,0,54747,54747,342016,340494,135463,133941,0,0,27627,27120,295153,292352,408777,0,588311,530590,431474,429960,762951,755441,0,0,48942,48688,0,0,8292694,7319027
