District_Id,Year,Regular_All_Funds,Regular_General_Funds,Gifted_Talented_All_Funds,Gifted_Talented_General_Funds,Career_Technology_All_Funds,Career_Technology_General_Funds,Students_With_Disabilities_All_Funds,Students_With_Disabilities_General_Funds,Compensatory_Education_All_Funds,Compensatory_Education_General_Funds,Bilingual_All_Funds,Bilingual_General_Funds,Athletics_Related_Activities_All_Funds,Athletics_Related_Activities_General_Funds,High_School_Allotment_All_Funds,High_School_Allotment_General_Funds,Pre_K_Regular_All_Funds,Pre_K_Regular_General_Funds,Pre_K_Bilingual_All_Funds,Pre_K_Bilingual_General_Funds,Pre_K_Comp_Ed_All_Funds,Pre_K_Comp_Ed_General_Funds,Pre_K_Total_All_Funds,Pre_K_Total_General_Funds,Total_Program_Expenditures_All_Funds,Total_Program_Expenditures_General_Funds
1902,2005,2253835,2213824,10227,10131,94043,93326,298028,293443,216819,61305,1252,1240,156463,134554,0,0,0,0,0,0,0,0,0,0,4187152,3766171
1902,2006,2231404,2189975,10359,10263,98348,97587,342780,338829,305703,112478,1264,1252,152162,129482,0,0,0,0,0,0,0,0,0,0,4419577,3944215
1902,2007,2382088,2368474,9815,9815,114517,114517,358842,358842,313706,125940,1197,1197,183730,147213,0,0,0,0,0,0,0,0,0,0,4693094,4265097
1902,2008,2598844,2567178,10256,10256,113084,113084,2689110,389832,339340,180245,1246,1246,182724,182724,0,0,0,0,0,0,0,0,0,0,7417070,4653819
1902,2009,2841002,2793147,10252,10252,133520,133520,2562026,376075,364949,181981,1261,1261,277620,223733,0,0,0,0,0,0,0,0,0,0,7664278,4931659
1902,2010,2926417,2894386,10303,10303,179030,165656,3409136,401915,356797,181041,1264,1264,234405,234405,49181,49181,0,0,0,0,0,0,0,0,8656932,5017531
1902,2011,2697739,2665401,9891,9891,178400,175300,3292103,404628,395533,196290,1216,1216,207921,207921,48529,48529,0,0,0,0,0,0,0,0,8412152,4851566
1902,2012,2750620,2585068,9893,9893,190698,190698,2703962,411103,317926,166470,965,965,205817,205817,52078,52078,0,0,0,0,0,0,0,0,7904770,5013270
1902,2013,2867351,2843498,15282,15282,175935,175935,2717209,422115,319567,174318,2687,2687,311431,311431,59189,59189,0,0,0,0,0,0,0,0,8254285,5465273
1902,2014,2860367,2853419,17415,17415,180011,180011,2920475,415567,324331,213600,1004,1004,269745,269745,60755,60755,0,0,0,0,0,0,0,0,8328548,5392990
1902,2015,2835058,2796960,17342,17342,217122,217122,2786596,418487,314489,183457,710,710,273092,273092,59537,59537,0,32860,0,0,0,0,32860,32860,8238347,5366752
